categoria,archivo,nombre_visible,url
Preventivas,Preventivas\Bifuracion Escalonada Izquierda.png,Bifuracion Escalonada Izquierda,https://practicatest.co/static/img/co/temario/senales_preventivas/sp18_bifuracion_escalonada_izquierda.png
Preventivas,Preventivas\Bifuracion Escalonada Derecha.png,Bifuracion Escalonada Derecha,https://practicatest.co/static/img/co/temario/senales_preventivas/sp19_bifuracion_escalonada_derecha.png
Preventivas,Preventivas\Glorieta.png,Glorieta,https://practicatest.co/static/img/co/temario/senales_preventivas/sp20_glorieta.png
Preventivas,Preventivas\Incorporacion Izquierda.png,Incorporacion Izquierda,https://practicatest.co/static/img/co/temario/senales_preventivas/sp21_incorporacion_izquierda.png
Preventivas,Preventivas\Incorporacion Derecha.png,Incorporacion Derecha,https://practicatest.co/static/img/co/temario/senales_preventivas/sp22_incorporacion_derecha.png
Preventivas,Preventivas\Semaforo.png,Semaforo,https://practicatest.co/static/img/co/temario/senales_preventivas/sp23_semaforo.png
Preventivas,Preventivas\Superficie Rizada.png,Superficie Rizada,https://practicatest.co/static/img/co/temario/senales_preventivas/sp24_superficie_rizada.png
Preventivas,Preventivas\Resalto.png,Resalto,https://practicatest.co/static/img/co/temario/senales_preventivas/sp25_resalto.png
Preventivas,Preventivas\Depresion.png,Depresion,https://practicatest.co/static/img/co/temario/senales_preventivas/sp26_depresion.png
Preventivas,Preventivas\Descenso Peligroso.png,Descenso Peligroso,https://practicatest.co/static/img/co/temario/senales_preventivas/sp27_descenso_peligroso.png
Preventivas,Preventivas\Reduccion Simetrica Via.png,Reduccion Simetrica Via,https://practicatest.co/static/img/co/temario/senales_preventivas/sp28_reduccion_simetrica_via.png
Preventivas,Preventivas\Prevencion De Pare.png,Prevencion De Pare,https://practicatest.co/static/img/co/temario/senales_preventivas/sp29_prevencion_de_pare.png
Preventivas,Preventivas\Reduccion Calzada Izquierda.png,Reduccion Calzada Izquierda,https://practicatest.co/static/img/co/temario/senales_preventivas/sp30_reduccion_calzada_izquierda.png
Preventivas,Preventivas\Reduccion Asimetrica Derecha.png,Reduccion Asimetrica Derecha,https://practicatest.co/static/img/co/temario/senales_preventivas/sp31_reduccion_asimetrica_derecha.png
Preventivas,Preventivas\Ensanche Via.png,Ensanche Via,https://practicatest.co/static/img/co/temario/senales_preventivas/sp32_ensanche_via.png
Preventivas,Preventivas\Prevencion Ceda Paso.png,Prevencion Ceda Paso,https://practicatest.co/static/img/co/temario/senales_preventivas/sp33_prevencion_ceda_paso.png
Preventivas,Preventivas\Ensanche Asimetrico Izquierda.png,Ensanche Asimetrico Izquierda,https://practicatest.co/static/img/co/temario/senales_preventivas/sp34_ensanche_asimetrico_izquierda.png
Preventivas,Preventivas\Ensanche Asimetrico Derecha.png,Ensanche Asimetrico Derecha,https://practicatest.co/static/img/co/temario/senales_preventivas/sp35_ensanche_asimetrico_derecha.png
